-log10pvalue	-log10qvalue	rank	basepairs
31.70	26.54	18103	20
31.66	26.50	18123	53
31.65	26.49	18176	124
31.58	26.43	18300	159
31.56	26.41	18459	146
31.55	26.40	18605	2
31.53	26.38	18607	8
31.50	26.35	18615	28
31.48	26.33	18643	24
31.43	26.28	18667	3
31.42	26.27	18670	1
31.41	26.26	18671	32
31.37	26.22	18703	374
31.35	26.21	19077	31
31.33	26.19	19108	37
31.31	26.18	19145	4
31.30	26.17	19149	17
31.29	26.16	19166	42
31.26	26.13	19208	12
31.23	26.10	19220	102
31.17	26.04	19322	90
31.15	26.02	19412	3
31.14	26.01	19415	7
31.11	25.98	19422	17
31.10	25.97	19439	16
31.09	25.96	19455	182
31.02	25.90	19637	1
31.01	25.89	19638	3
31.00	25.88	19641	30
30.98	25.86	19671	1
30.97	25.85	19672	31
30.94	25.82	19703	2
30.92	25.80	19705	8
30.90	25.78	19713	22
30.89	25.77	19735	78
30.85	25.73	19813	20
30.82	25.70	19833	8
30.77	25.65	19841	5
30.73	25.61	19846	35
30.72	25.60	19881	57
30.70	25.58	19938	19
30.68	25.56	19957	54
30.66	25.54	20011	1
30.65	25.53	20012	11
30.63	25.51	20023	77
30.59	25.48	20100	7
30.55	25.44	20107	20
30.54	25.43	20127	52
30.53	25.42	20179	36
30.52	25.41	20215	28
30.50	25.39	20243	6
30.49	25.38	20249	2
30.48	25.37	20251	10
30.42	25.31	20261	2
30.41	25.30	20263	56
30.40	25.29	20319	22
30.39	25.28	20341	19
30.37	25.26	20360	13
30.34	25.23	20373	99
30.32	25.21	20472	336
30.31	25.21	20808	5
30.30	25.20	20813	11
30.27	25.17	20824	22
30.25	25.15	20846	6
30.24	25.14	20852	117
30.20	25.10	20969	20
30.18	25.09	20989	1
30.16	25.07	20990	4
30.15	25.06	20994	39
30.13	25.04	21033	198
30.12	25.03	21231	3
30.11	25.02	21234	3
30.10	25.01	21237	54
30.09	25.00	21291	74
30.08	24.99	21365	2
30.07	24.98	21367	3
30.00	24.91	21370	2
29.99	24.90	21372	12
